fact_finance_id,date_key,company_key,fin_type_key,metric_key,value
446,20150930,1,1,6,10436000000.0
447,20150630,1,1,6,10019000000.0
448,20150331,1,1,6,10310000000.0
449,20141231,1,1,6,10849000000.0
450,20140930,1,1,6,10019000000.0
451,20140630,1,1,6,8421000000.0
452,20140331,1,1,6,7827000000.0
453,20131231,1,1,6,8882000000.0
454,20130930,1,1,6,7921000000.0
455,20130630,1,1,6,8163000000.0
456,20130331,1,1,6,8670000000.0
457,20121231,1,1,6,8585000000.0
458,20120930,1,1,6,7809000000.0
459,20120630,1,1,6,7341000000.0
460,20120331,1,1,6,5713000000.0
461,20111231,1,1,6,6172000000.0
462,20110930,1,1,6,5861000000.0
463,20110630,1,1,6,5843000000.0
464,20110331,1,1,6,4818000000.0
465,20101231,1,1,6,5002000000.0
466,20100930,1,1,6,4719000000.0
467,20100630,1,1,6,3617000000.0
468,20100331,1,1,6,3084000000.0
469,20091231,1,1,6,3201000000.0
470,20090930,1,1,6,2879604000.0
471,20090630,1,1,6,2847755000.0
472,20090331,1,1,6,2543105000.0
473,20081231,1,1,6,2642192000.0
474,20080930,1,1,6,2541492000.0
475,20080630,1,1,6,2641901000.0
476,20080331,1,1,6,2560909000.0
477,20071231,1,1,6,2307774000.0
478,20070930,1,1,6,1887860000.0
479,20070630,1,1,6,1648680000.0
480,20070331,1,1,6,1477090000.0
481,20061231,1,1,6,1322340000.0
482,20060930,1,1,6,1031055000.0
483,20060630,1,1,6,885088000.0
484,20060331,1,1,6,844378000.0
485,20051231,1,1,6,687976000.0
486,20050930,1,1,6,541815000.0
487,20250930,1,1,7,362522000000.0
488,20250630,1,1,7,335837000000.0
489,20250331,1,1,7,313322000000.0
490,20241231,1,1,7,286545000000.0
491,20240930,1,1,7,272725000000.0
492,20240630,1,1,7,252775000000.0
493,20240331,1,1,7,241879000000.0
494,20231231,1,1,7,230862000000.0
495,20230930,1,1,7,220401000000.0
496,20230630,1,1,7,214256000000.0
497,20230331,1,1,7,207506000000.0
498,20221231,1,1,7,200469000000.0
499,20220930,1,1,7,192146000000.0
500,20220630,1,1,7,182814000000.0
501,20220331,1,1,7,179243000000.0
502,20211231,1,1,7,171125000000.0
503,20210930,1,1,7,163293000000.0
504,20210630,1,1,7,159690000000.0
505,20210331,1,1,7,154958000000.0
506,20201231,1,1,7,145320000000.0
507,20200930,1,1,7,134874000000.0
508,20200630,1,1,7,129423000000.0
509,20200331,1,1,7,126385000000.0
510,20191231,1,1,7,123331000000.0
511,20190930,1,1,7,114686000000.0
512,20190630,1,1,7,109664000000.0
513,20190331,1,1,7,107142000000.0
514,20181231,1,1,7,97116000000.0
515,20180930,1,1,7,91836000000.0
516,20180630,1,1,7,87453000000.0
517,20180331,1,1,7,83174000000.0
518,20171231,1,1,7,72987000000.0
519,20170930,1,1,7,70191000000.0
520,20170630,1,1,7,66235000000.0
521,20170331,1,1,7,63962000000.0
522,20161231,1,1,7,62089000000.0
523,20160930,1,1,7,61402000000.0
524,20160630,1,1,7,60054000000.0
525,20160331,1,1,7,58792000000.0
526,20151231,1,1,7,57347000000.0
527,20150930,1,1,7,56178000000.0
528,20150630,1,1,7,54643000000.0
529,20150331,1,1,7,53087000000.0
530,20141231,1,1,7,50448000000.0
531,20140930,1,1,7,45666000000.0
532,20140630,1,1,7,43703000000.0
533,20140331,1,1,7,41212000000.0
534,20131231,1,1,7,38034000000.0
535,20130930,1,1,7,36210000000.0
536,20130630,1,1,7,34321000000.0
537,20130331,1,1,7,33884000000.0
538,20121231,1,1,7,33344000000.0
539,20120930,1,1,7,32909000000.0
540,20120630,1,1,7,32194000000.0
541,20120331,1,1,7,20285000000.0
542,20111231,1,1,7,19816000000.0
543,20110930,1,1,7,19046000000.0
544,20110630,1,1,7,18419000000.0
545,20110331,1,1,7,16650000000.0
546,20101231,1,1,7,16289000000.0
547,20100930,1,1,7,13895000000.0
548,20100630,1,1,7,12884000000.0
549,20100331,1,1,7,11739000000.0
550,20091231,1,1,7,11329820000.0
551,20090930,1,1,7,11349301000.0
552,20090630,1,1,7,11323907000.0
553,20090331,1,1,7,11432227000.0
554,20081231,1,1,7,11589393000.0
555,20080930,1,1,7,12844123000.0
556,20080630,1,1,7,12862949000.0
557,20080331,1,1,7,12140051000.0
558,20071231,1,1,7,8046668000.0
559,20070930,1,1,7,7606889000.0
560,20070630,1,1,7,6566362000.0
561,20070331,1,1,7,5934664000.0
562,20061231,1,1,7,5433504000.0
563,20060930,1,1,7,3834989000.0
564,20060630,1,1,7,3337899000.0
565,20060331,1,1,7,1738913000.0
566,20051231,1,1,7,1270742000.0
567,20050930,1,1,7,1068316000.0
568,20250930,1,1,8,25448000000.0
569,20250630,1,1,8,217486000000.0
570,20250331,1,1,8,198784000000.0
571,20241231,1,1,8,184624000000.0
572,20240930,1,1,8,174831000000.0
573,20240630,1,1,8,25448000000.0
574,20240331,1,1,8,25448000000.0
575,20231231,1,1,8,25448000000.0
576,20230930,1,1,8,139904000000.0
577,20230630,1,1,8,135677000000.0
578,20230331,1,1,8,132007000000.0
579,20221231,1,1,8,112668000000.0
580,20220930,1,1,8,122040000000.0
581,20220630,1,1,8,119621000000.0
582,20220331,1,1,8,117210000000.0
583,20211231,1,1,8,97599000000.0
584,20210930,1,1,8,107549000000.0
585,20210630,1,1,8,104675000000.0
586,20210331,1,1,8,100204000000.0
587,20201231,1,1,8,84749000000.0
588,20200930,1,1,8,93582000000.0
589,20200630,1,1,8,90315000000.0
590,20200331,1,1,8,87966000000.0
591,20191231,1,1,8,84587000000.0
592,20190930,1,1,8,69252000000.0
593,20190630,1,1,8,64891000000.0
594,20190331,1,1,8,60528000000.0
595,20181231,1,1,8,59719000000.0
596,20180930,1,1,8,55300000000.0
597,20180630,1,1,8,51672000000.0
598,20180331,1,1,8,48845000000.0
599,20171231,1,1,8,42383000000.0
600,20170930,1,1,8,40120000000.0
601,20170630,1,1,8,37676000000.0
602,20170331,1,1,8,35936000000.0
603,20161231,1,1,8,34234000000.0
604,20160930,1,1,8,32753000000.0
605,20160630,1,1,8,31413000000.0
606,20160331,1,1,8,30162000000.0
